tick_ms	sender_count	gas_limit	tx_submitted	tx_confirmed	submit_tps	confirmed_tps	p50_ms	p95_ms	p99_ms	report_json
500	1	21000	2000	2000	2300.7954079804927	1498.881427508771	612.938571	1042.736677	1146.139862	/mnt/riffcastle/castle/garage/ETH2077/reports/live-tps-2026-03-02-104217-tick500-s1-g21000.json
500	1	30000	2000	2000	2326.048971762783	1519.9161286569515	672.129424	1063.232412	1168.6527899999999	/mnt/riffcastle/castle/garage/ETH2077/reports/live-tps-2026-03-02-104217-tick500-s1-g30000.json
500	4	21000	2000	2000	2318.490260535961	1476.5867113788936	616.5817309999999	1052.324746	1148.993755	/mnt/riffcastle/castle/garage/ETH2077/reports/live-tps-2026-03-02-104217-tick500-s4-g21000.json
500	4	30000	2000	2000	2284.1513544973564	1482.7559002927437	663.5275119999999	1067.187986	1170.9048930000001	/mnt/riffcastle/castle/garage/ETH2077/reports/live-tps-2026-03-02-104217-tick500-s4-g30000.json
500	8	21000	2000	2000	2322.501736441648	1551.32116754696	640.7496519999999	1070.525044	1181.187958	/mnt/riffcastle/castle/garage/ETH2077/reports/live-tps-2026-03-02-104217-tick500-s8-g21000.json
500	8	30000	2000	2000	2280.287025382997	1456.6741873516787	616.250617	1062.398451	1167.3487890000001	/mnt/riffcastle/castle/garage/ETH2077/reports/live-tps-2026-03-02-104217-tick500-s8-g30000.json
750	1	21000	2000	2000	2324.4152200161047	1499.5627942197498	699.05444	1080.195829	1143.261314	/mnt/riffcastle/castle/garage/ETH2077/reports/live-tps-2026-03-02-104217-tick750-s1-g21000.json
750	1	30000	2000	2000	2295.4612522967136	1281.3249375482067	720.0342849999998	1048.16686	1151.607037	/mnt/riffcastle/castle/garage/ETH2077/reports/live-tps-2026-03-02-104217-tick750-s1-g30000.json
750	4	21000	2000	2000	2334.9196839930905	1461.046555990632	737.4465780000002	1052.290989	1135.260436	/mnt/riffcastle/castle/garage/ETH2077/reports/live-tps-2026-03-02-104217-tick750-s4-g21000.json
750	4	30000	2000	2000	2267.2024533107547	1238.7633410948442	719.7488929999998	1048.864111	1152.8301190000002	/mnt/riffcastle/castle/garage/ETH2077/reports/live-tps-2026-03-02-104217-tick750-s4-g30000.json
750	8	21000	2000	2000	2321.9465365424608	1443.224003553841	754.257131	1050.098077	1130.8829119999998	/mnt/riffcastle/castle/garage/ETH2077/reports/live-tps-2026-03-02-104217-tick750-s8-g21000.json
750	8	30000	2000	2000	2260.297728564089	1215.1542452183053	697.429475	1062.3075339999998	1158.130777	/mnt/riffcastle/castle/garage/ETH2077/reports/live-tps-2026-03-02-104217-tick750-s8-g30000.json
1000	1	21000	2000	2000	2373.1415865940417	1119.3628951760707	757.0584349999999	1055.5095880000001	1125.4411719999998	/mnt/riffcastle/castle/garage/ETH2077/reports/live-tps-2026-03-02-104217-tick1000-s1-g21000.json
1000	1	30000	2000	2000	2309.2253775518834	1175.473314600822	850.39479	1092.559822	1146.6293999999998	/mnt/riffcastle/castle/garage/ETH2077/reports/live-tps-2026-03-02-104217-tick1000-s1-g30000.json
1000	4	21000	2000	2000	2200.8245175575053	1208.431628672549	879.2714470000001	1131.180471	1194.489361	/mnt/riffcastle/castle/garage/ETH2077/reports/live-tps-2026-03-02-104217-tick1000-s4-g21000.json
1000	4	30000	2000	2000	2267.792445553164	1215.0560740267663	884.1322670000001	1156.316135	1224.7166289999998	/mnt/riffcastle/castle/garage/ETH2077/reports/live-tps-2026-03-02-104217-tick1000-s4-g30000.json
1000	8	21000	2000	2000	2243.4748640145194	1222.3738782105315	892.9545810000002	1165.4123	1244.486547	/mnt/riffcastle/castle/garage/ETH2077/reports/live-tps-2026-03-02-104217-tick1000-s8-g21000.json
1000	8	30000	2000	2000	2332.757867239029	1228.9037812979172	890.954323	1174.078395	1257.7974470000001	/mnt/riffcastle/castle/garage/ETH2077/reports/live-tps-2026-03-02-104217-tick1000-s8-g30000.json
